brand,eans,file_urls,files,model,model_2,product,product_lang,source,thumb,type,url
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210406/161769455666.pdf,,Amazfit PowerBuds,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5eb3e1e90171d.png,Quickstart Guide,https://support.amazfit.com/de/product/1
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210203/161232363661.pdf,,Amazfit X,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5f3defc1b3fd0.png,Quickstart Guide,https://support.amazfit.com/de/product/a
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210203/161232269977.pdf,,Amazfit Verge,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5d8c86f1560bb.png,Quickstart Guide,https://support.amazfit.com/de/product/verge
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210129/161190291594.pdf,,Amazfit Neo,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5f62d0d289508.png,Quickstart Guide,https://support.amazfit.com/de/product/neo
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210204/161241042735.pdf,,Amazfit Neo,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5f62d0d289508.png,User Guide,https://support.amazfit.com/de/product/neo
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210201/161216215393.pdf,,Amazfit Band 5,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5f6315103f223.png,Quickstart Guide,https://support.amazfit.com/de/product/band
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210204/161240893964.pdf,,Amazfit Band 5,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5f6315103f223.png,User Guide,https://support.amazfit.com/de/product/band
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210201/161216377981.pdf,,Amazfit Smart Scale,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5fdac635c75d8.png,Quickstart Guide,https://support.amazfit.com/de/product/scale
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210204/161241048569.pdf,,Amazfit Smart Scale,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5fdac635c75d8.png,User Guide,https://support.amazfit.com/de/product/scale
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210201/161216021830.pdf,,Amazfit Bip U,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5f8806f20e4cf.png,Quickstart Guide,https://support.amazfit.com/de/product/2017
